geo,statistics,AA_rate
95519,71,40.65
95521,138,72.22
95531,131,53.64
95540,119,92.99
95542,12,55.47
95560,15,221.85
95562,23,71.21
95567,14,70.85
95570,17,87.38
95602,64,34.08
95603,95,39.97
95605,112,80.92
95608,406,71.69
95610,216,49.1
95616,79,19.66
95618,38,16.98
95619,26,71.51
95620,77,35.22
95621,220,51.84
95623,20,47.99
95624,306,51.83
95626,31,51.45
95627,14,46.3
95628,130,32.95
95630,173,24.51
95631,20,30.07
95632,120,40.25
95640,34,32.97
95642,46,85.13
95648,142,29.39
95650,41,33.63
95655,22,68.62
95658,21,40.17
95660,292,92.74
95661,126,46.15
95662,144,47.65
95665,14,32.48
95666,23,42.79
95667,121,35.16
95670,273,48.94
95672,18,35.15
95673,114,82.59
95677,86,37.29
95678,188,44.65
95682,70,25.52
95683,13,24.94
95685,19,37.52
95687,318,48.98
95688,188,55.72
95691,188,59.18
95692,25,53.51
95693,13,17.94
95694,35,37.72
95695,181,47.09
95713,24,21.77
95726,29,31.23
95746,51,25.62
95747,153,33.82
95757,137,44.82
95758,293,51.24
95762,72,21.62
95765,98,33.69
95776,73,30.95
95811,44,67.29
95814,97,106
95815,286,110.83
95816,85,52.31
95817,163,105.16
95818,120,58.91
95819,34,22.99
95820,290,76.14
95821,244,70.28
95822,329,69.71
95823,854,113.87
95824,288,95.75
95825,231,84.83
95826,215,56.12
95827,120,58.83
95828,409,68.85
95829,132,62.52
95831,174,44.66
95832,129,117.11
95833,248,71.02
95834,160,78.38
95835,156,38.83
95838,380,102.91
95841,195,95.8
95842,258,79.3
95843,204,52.22
95864,96,44.65
95901,201,60.13
95903,14,22.14
95912,12,20.79
95926,163,46.69
95928,118,36.25
95932,41,51.17
95945,215,89.83
95946,55,74.45
95948,44,38.08
95949,75,44.96
95951,16,68.54
95953,37,32.51
95954,79,76.73
95959,66,42.55
95961,115,44.4
95963,51,31.18
95965,180,94.14
95966,236,89.42
95968,16,112.93
95969,127,51.14
95971,34,56.25
95973,81,24.75
95987,22,39.71
95988,35,37.78
95991,202,48.56
95993,89,25.14
96001,224,67.73
96002,191,58.41
96003,213,52.03
96007,147,64.49
96013,22,45.22
96019,70,65.75
96020,14,66.07
96021,116,75.46
96022,58,41.71
96028,12,64.13
96035,33,68.82
96055,20,51.25
96064,22,60.3
96067,18,23.93
96080,257,94.19
96093,18,60.45
96094,21,38.28
96097,55,67.49
96101,38,76.39
96122,45,110.09
96130,87,34.54
96137,14,124.94
96150,42,11.57
96161,16,8.65
