geo,statistics
Bracken,1494
Breathitt,4488
Breckinridge,3875
Bullitt,8140
Butler,2712
Caldwell,2665
Calloway,7268
Campbell,12772
Carlisle,801
Carroll,2256
Carter,6396
Casey,4339
Christian,15392
Clark,5227
Clay,8098
Clinton,2786
Crittenden,2098
Cumberland,1868
Daviess,15923
Edmonson,2238
Elliott,2217
Estill,3971
Fayette,51815
Fleming,2965
Floyd,12660
Franklin,7749
Fulton,1857
Gallatin,1454
Garrard,3100
Grant,4078
Graves,6790
Grayson,5383
Green,2441
Greenup,6447
Hancock,1226
Hardin,15599
Harlan,8261
Harrison,3469
Hart,4546
Henderson,7982
Henry,2528
Hickman,917
Hopkins,8320
Jackson,4300
Jefferson,134160
Jessamine,7469
Johnson,5799
Kenton,23450
Knott,4726
Knox,10065
Larue,2600
Laurel,12129
Lawrence,3964
Lee,2728
Leslie,2957
Letcher,6133
Lewis,4203
Lincoln,6072
Livingston,1512
Logan,5011
Lyon,1259
McCracken,11546
McCreary,6710
McLean,1592
Madison,17604
Magoffin,4012
Marion,3808
Marshall,4217
Martin,4304
Mason,3748
Meade,4674
Menifee,2025
Mercer,3704
Metcalfe,2545
Monroe,2965
Montgomery,6210
Morgan,3589
Muhlenberg,5863
Nelson,7470
Nicholas,1362
Ohio,4603
Oldham,3792
Owen,2119
Owsley,1977
Pendleton,2134
Perry,7446
Pike,14840
Powell,3428
Pulaski,14710
Robertson,506
Rockcastle,4611
Rowan,5900
Russell,4824
Scott,5176
Shelby,5576
Simpson,3090
Spencer,1705
Taylor,5202
Todd,2615
Trigg,2414
Trimble,1544
Union,2981
Warren,21952
Washington,1936
Wayne,5492
Webster,2034
Whitley,10076
Wolfe,2568
Woodford,2585
Louisiana,900395
Acadia Parish,12596
Allen Parish,4682
Ascension Parish,13439
Assumption Parish,4847
Avoyelles Parish,9568
Beauregard Parish,6472
Bienville Parish,3516
Bossier Parish,15905
Caddo Parish,51271
Calcasieu Parish,33065
Caldwell Parish,2231
Cameron Parish,870
Catahoula Parish,2418
Claiborne Parish,4807
Concordia Parish,5546
De Soto Parish,5974
East Baton Rouge Parish,88887
East Carroll Parish,2953
East Feliciana Parish,3668
Evangeline Parish,8418
Franklin Parish,6278
Grant Parish,4061
Iberia Parish,15531
Iberville Parish,6261
Jackson Parish,3323
Jefferson Parish,69872
Jefferson Davis Parish,6203
Lafayette Parish,38846
Lafourche Parish,14248
La Salle Parish,2286
Lincoln Parish,11618
Livingston Parish,19857
Madison Parish,4736
Morehouse Parish,8301
Natchitoches Parish,9200
Orleans Parish,102770
Ouachita Parish,35398
Plaquemines Parish,3488
Pointe Coupee Parish,4698
Rapides Parish,28235
Red River Parish,2030
Richland Parish,4946
Sabine Parish,5043
St. Bernard Parish,9164
St. Charles Parish,6667
St. Helena Parish,2579
St. James Parish,3736
St. John the Baptist Parish,8656
St. Landry Parish,21026
St. Martin Parish,10062
St. Mary Parish,12025
St. Tammany Parish,31239
Tangipahoa Parish,29193
Tensas Parish,1508
Terrebonne Parish,20311
Union Parish,5975
Vermilion Parish,10080
Vernon Parish,7311
Washington Parish,11719
Webster Parish,8428
West Baton Rouge Parish,4042
West Carroll Parish,2526
West Feliciana Parish,2668
Winn Parish,3121
Maine,186484
Androscoggin,16591
Aroostook,11424
Cumberland,31512
Franklin,5517
Hancock,7058
Kennebec,17348
Knox,4958
Lincoln,4812
Oxford,10067
Penobscot,25655
Piscataquis,3399
Sagadahoc,3963
Somerset,8956
Waldo,6729
Washington,6109
York,22385
Maryland,597705
Allegany,11927
Anne Arundel,33954
Baltimore,77084
Calvert,6233
Caroline,5052
Carroll,10315
Cecil,11921
Charles,12869
Dorchester,5895
Frederick,16116
Garrett,4262
Harford,19458
Howard,15686
Kent,2614
Montgomery,66074
Prince George's,88153
Queen Anne's,3938
St. Mary's,8883
Somerset,6078
Talbot,3635
Washington,19238
Wicomico,16040
Worcester,5659
Baltimore city,146621
Massachusetts,762971
Barnstable,22088
Berkshire,17371
Bristol,70327
Dukes,1591
Essex,89797
Franklin,8120
Hampden,86048
Hampshire,18506
Middlesex,124436
Nantucket,768
Norfolk,50016
Plymouth,38245
Suffolk,143442
Worcester,92215
Michigan,1677776
Alcona,1677
Alger,1345
Allegan,14806
Alpena,4919
Antrim,3148
Arenac,2835
Baraga,1305
Barry,6726
Bay,14473
Benzie,2372
Berrien,30702
Branch,7612
Calhoun,23897
Cass,8261
Charlevoix,3299
Cheboygan,4714
Chippewa,6459
Clare,7502
Clinton,7776
Crawford,2706
Delta,5886
Dickinson,3442
Eaton,10702
Emmet,3616
Genesee,88023
Gladwin,4793
Gogebic,3031
Grand Traverse,9573
Gratiot,6678
Hillsdale,8807
Houghton,7217
Huron,4887
Ingham,67220
Ionia,8619
Iosco,4243
Iron,1933
Isabella,18483
Jackson,29034
Kalamazoo,43431
Kalkaska,2550
Kent,101609
Keweenaw,326
Lake,3117
Lapeer,9192
Leelanau,2168
Lenawee,12587
Livingston,12262
Luce,1133
Mackinac,1770
Macomb,104476
Manistee,4021
Marquette,10710
Mason,4540
Mecosta,8769
Menominee,3773
Midland,10651
Missaukee,2192
Monroe,17718
Montcalm,9656
Montmorency,1679
Muskegon,35416
Newaygo,8454
Oakland,127251
Oceana,5649
Ogemaw,4505
Ontonagon,1053
Osceola,5010
Oscoda,1807
Otsego,3320
Ottawa,28150
Presque Isle,1819
Roscommon,4467
Saginaw,37072
St. Clair,25177
St. Joseph,10785
Sanilac,7299
Schoolcraft,1284
Shiawassee,10419
Tuscola,8319
Van Buren,13861
Washtenaw,53693
Wayne,465744
Wexford,6169
Minnesota,597515
Aitkin,2187
Anoka,27583
Becker,4384
Beltrami,9193
Benton,4051
Big Stone,664
Blue Earth,10165
Brown,2158
Carlton,4242
Carver,4159
Cass,5006
Chippewa,1169
Chisago,4012
Clay,6443
Clearwater,1331
Cook,577
Cottonwood,1363
Crow Wing,8085
Dakota,30381
Dodge,1607
Douglas,3479
Faribault,1915
Fillmore,2546
Freeborn,3454
Goodhue,4169
Grant,651
Hennepin,151955
Houston,1878
Hubbard,2748
Isanti,3455
Itasca,6112
Jackson,1040
Kanabec,2307
Kandiyohi,5208
Kittson,465
Koochiching,1665
Lac qui Parle,646
Lake,1207
Lake of the Woods,429
Le Sueur,2203
Lincoln,589
Lyon,3049
McLeod,2861
Mahnomen,1155
Marshall,849
Martin,2540
Meeker,2719
Mille Lacs,3303
Morrison,3840
Mower,5494
Murray,847
Nicollet,3132
Nobles,2347
Norman,757
Olmsted,14125
Otter Tail,5892
Pennington,1490
Pine,3670
Pipestone,1026
Polk,4098
Pope,1221
Ramsey,85195
Red Lake,430
Redwood,1719
Renville,1577
Rice,6137
Rock,891
Roseau,1186
St. Louis,29124
Scott,7129
Sherburne,5926
Sibley,1569
Stearns,18747
Steele,2975
Stevens,1120
Swift,1069
Todd,3677
Traverse,394
Wabasha,1745
Wadena,2258
Waseca,1778
Washington,13346
Watonwan,1326
Wilkin,615
Winona,6504
Wright,8858
Yellow Medicine,924
Mississippi,689116
Adams,9211
Alcorn,8077
Amite,3595
Attala,5239
Benton,2366
Bolivar,11747
Calhoun,3291
Carroll,2080
Chickasaw,4187
Choctaw,2066
Claiborne,3118
Clarke,3692
Clay,5342
Coahoma,9190
Copiah,8765
Covington,4783
DeSoto,17967
Forrest,21228
Franklin,1707
George,4631
Greene,2812
Grenada,5238
Hancock,9673
Harrison,38660
Hinds,67539
Holmes,7440
Humphreys,3598
Issaquena,455
Itawamba,4385
Jackson,23387
Jasper,3759
Jefferson,2372
Jefferson Davis,3618
Jones,17283
Kemper,2704
Lafayette,9756
Lamar,9825
Lauderdale,20093
Lawrence,2838
Leake,5907
Lee,16335
Leflore,12194
Lincoln,7735
Lowndes,17148
Madison,14044
Marion,6825
Marshall,9460
Monroe,7799
Montgomery,2871
Neshoba,6923
Newton,4666
Noxubee,3741
